Gene	p value	Name
MAP3K2	>0.1	mitogen-activated protein kinase kinase kinase 2
FAM222A-AS1	>0.1	FAM222A antisense RNA 1
OR52E6	>0.1	olfactory receptor family 52 subfamily E member 6
LOC79999	>0.1	
KIAA0319	>0.1	KIAA0319
AQP11	>0.1	aquaporin 11
DCDC2	>0.1	doublecortin domain containing 2
FABP9	>0.1	fatty acid binding protein 9
MPV17	>0.1	mitochondrial inner membrane protein MPV17
SUMF1	>0.1	sulfatase modifying factor 1
LOC642426	>0.1	
BCL7C	>0.1	BAF chromatin remodeling complex subunit BCL7C
PABPN1L	>0.1	PABPN1 like, cytoplasmic
RASSF10	>0.1	Ras association domain family member 10
WDR12	>0.1	WD repeat domain 12
FH	>0.1	fumarate hydratase
KPNA2	>0.1	karyopherin subunit alpha 2
QRFP	>0.1	pyroglutamylated RFamide peptide
PNLDC1	>0.1	PARN like ribonuclease domain containing exonuclease 1
DEFB123	>0.1	defensin beta 123
CCDC157	>0.1	coiled-coil domain containing 157
BTN2A3P	>0.1	butyrophilin subfamily 2 member A3, pseudogene
GMEB1	>0.1	glucocorticoid modulatory element binding protein 1
KRT32	>0.1	keratin 32
OR52R1	>0.1	olfactory receptor family 52 subfamily R member 1
EGFL6	>0.1	EGF like domain multiple 6
DEPDC5	>0.1	DEP domain containing 5, GATOR1 subcomplex subunit
GEMIN5	>0.1	gem nuclear organelle associated protein 5
CCDC18	>0.1	coiled-coil domain containing 18
TOMM34	>0.1	translocase of outer mitochondrial membrane 34
C17orf98	>0.1	chromosome 17 open reading frame 98
BTN1A1	>0.1	butyrophilin subfamily 1 member A1
HOTAIR	>0.1	HOX transcript antisense RNA
BIRC5	>0.1	baculoviral IAP repeat containing 5
MYBL2	>0.1	MYB proto-oncogene like 2
TRAPPC3	>0.1	trafficking protein particle complex subunit 3
CCDC173	>0.1	cilia and flagella associated protein 210
COPS6	>0.1	COP9 signalosome subunit 6
INS-IGF2	>0.1	INS-IGF2 readthrough
DVL2	>0.1	dishevelled segment polarity protein 2
ZNF805	>0.1	zinc finger protein 805
INSIG2	>0.1	insulin induced gene 2
DSTNP2	>0.1	DSTN pseudogene 2
C2orf15	>0.1	chromosome 2 open reading frame 15
VAX2	>0.1	ventral anterior homeobox 2
LINC00667	>0.1	long intergenic non-protein coding RNA 667
ZSCAN16	>0.1	zinc finger and SCAN domain containing 16
IZUMO1	>0.1	izumo sperm-egg fusion 1
LYSMD4	>0.1	LysM domain containing 4
LINC01168	>0.1	long intergenic non-protein coding RNA 1168
BET1L	>0.1	Bet1 golgi vesicular membrane trafficking protein like
FGFBP2	>0.1	fibroblast growth factor binding protein 2
CIART	>0.1	circadian associated repressor of transcription
CDCA3	>0.1	cell division cycle associated 3
SHISA9	>0.1	shisa family member 9
H3F3A	>0.1	H3.3 histone A
ZNF663P	>0.1	zinc finger protein 663, pseudogene
TEX40	>0.1	catsper channel auxiliary subunit zeta
UBE2Z	>0.1	ubiquitin conjugating enzyme E2 Z
LINC00908	>0.1	long intergenic non-protein coding RNA 908
ALOX12	>0.1	arachidonate 12-lipoxygenase, 12S type
WDR52	>0.1	cilia and flagella associated protein 44
SERTAD4	>0.1	SERTA domain containing 4
PRRG1	>0.1	proline rich and Gla domain 1
COL3A1	>0.1	collagen type III alpha 1 chain
PFKFB1	>0.1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
IFITM10	>0.1	interferon induced transmembrane protein 10
RAC2	>0.1	Rac family small GTPase 2
CXorf21	>0.1	TLR adaptor interacting with endolysosomal SLC15A4
ZNF213	>0.1	zinc finger protein 213
LILRA1	>0.1	leukocyte immunoglobulin like receptor A1
FAM170B	>0.1	family with sequence similarity 170 member B
PPP1R42	>0.1	protein phosphatase 1 regulatory subunit 42
TMEM38B	>0.1	transmembrane protein 38B
LEPREL4	>0.1	prolyl 3-hydroxylase family member 4 (inactive)
TPTE	>0.1	transmembrane phosphatase with tensin homology
LOC100129175	>0.1	uncharacterized LOC100129175(LOC100129175)
KIAA1875	>0.1	WD repeat domain 97
ENOSF1	>0.1	enolase superfamily member 1
FGF14-AS2	>0.1	FGF14 antisense RNA 2
METTL23	>0.1	methyltransferase like 23
ZNF680	>0.1	zinc finger protein 680
TMC7	>0.1	transmembrane channel like 7
ATCAY	>0.1	ATCAY kinesin light chain interacting caytaxin
LOC388780	>0.1	uncharacterized LOC388780(LOC388780)
PURA	>0.1	purine rich element binding protein A
SLC5A9	>0.1	solute carrier family 5 member 9
AGRN	>0.1	agrin
EFNA5	>0.1	ephrin A5
MANSC1	>0.1	MANSC domain containing 1
PPIP5K1	>0.1	diphosphoinositol pentakisphosphate kinase 1
MSANTD3	>0.1	Myb/SANT DNA binding domain containing 3
NPL	>0.1	N-acetylneuraminate pyruvate lyase
CWC27	>0.1	CWC27 spliceosome associated cyclophilin
WDR73	>0.1	WD repeat domain 73
NPIPB3	>0.1	nuclear pore complex interacting protein family member B3
MON2	>0.1	MON2 homolog, regulator of endosome-to-Golgi trafficking
LCE1E	>0.1	late cornified envelope 1E
KBTBD8	>0.1	kelch repeat and BTB domain containing 8
FANCL	>0.1	FA complementation group L
FCGBP	>0.1	Fc gamma binding protein
FAM98C	>0.1	family with sequence similarity 98 member C
SNCA	>0.1	synuclein alpha
SUCNR1	>0.1	succinate receptor 1
OSBPL7	>0.1	oxysterol binding protein like 7
LOC729080	>0.1	glycine cleavage system protein H (aminomethyl carrier) pseudogene(LOC729080)
OR2T4	>0.1	olfactory receptor family 2 subfamily T member 4
SCARNA12	>0.1	small Cajal body-specific RNA 12
LINC00954	>0.1	long intergenic non-protein coding RNA 954
GPR146	>0.1	G protein-coupled receptor 146
ZPLD1	>0.1	zona pellucida like domain containing 1
PHF20L1	>0.1	PHD finger protein 20 like 1
CD82	>0.1	CD82 molecule
OBSL1	>0.1	obscurin like cytoskeletal adaptor 1
LINC00861	>0.1	long intergenic non-protein coding RNA 861
SLC6A2	>0.1	solute carrier family 6 member 2
MS4A3	>0.1	membrane spanning 4-domains A3
TMUB1	>0.1	transmembrane and ubiquitin like domain containing 1
ABCA17P	>0.1	ATP binding cassette subfamily A member 17, pseudogene
ESX1	>0.1	ESX homeobox 1
SPINT2	>0.1	serine peptidase inhibitor, Kunitz type 2
KCTD7	>0.1	potassium channel tetramerization domain containing 7
GAS2L1P2	>0.1	growth arrest specific 2 like 1 pseudogene 2
CYP2U1	>0.1	cytochrome P450 family 2 subfamily U member 1
FRK	>0.1	fyn related Src family tyrosine kinase
PC	>0.1	pyruvate carboxylase
MORN1	>0.1	MORN repeat containing 1
HSD3B7	>0.1	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7
PGLYRP4	>0.1	peptidoglycan recognition protein 4
HERC2P7	>0.1	HERC2 pseudogene 7
EPB41L5	>0.1	erythrocyte membrane protein band 4.1 like 5
DNHD1	>0.1	dynein heavy chain domain 1
LOC100652758	>0.1	uncharacterized LOC100652758(LOC100652758)
RBMX2	>0.1	RNA binding motif protein X-linked 2
LOC158435	>0.1	uncharacterized LOC158435(LOC158435)
HSD17B12	>0.1	hydroxysteroid 17-beta dehydrogenase 12
ARL4C	>0.1	ADP ribosylation factor like GTPase 4C
PPP1R3E	>0.1	protein phosphatase 1 regulatory subunit 3E
CDKN1C	>0.1	cyclin dependent kinase inhibitor 1C
BCAR1	>0.1	BCAR1 scaffold protein, Cas family member
LOC440416	>0.1	
CADM4	>0.1	cell adhesion molecule 4
PRKAA2	>0.1	protein kinase AMP-activated catalytic subunit alpha 2
NLRC5	>0.1	NLR family CARD domain containing 5
LOC285629	>0.1	
CDC45	>0.1	cell division cycle 45
PDCD4-AS1	>0.1	PDCD4 antisense RNA 1
FAM120A	>0.1	family with sequence similarity 120A
ZNF652	>0.1	zinc finger protein 652
SELO	>0.1	selenoprotein O
C10orf62	>0.1	chromosome 10 open reading frame 62
FAM71A	>0.1	golgi associated RAB2 interactor family member 4
COX6A2	>0.1	cytochrome c oxidase subunit 6A2
LOC338694	>0.1	uncharacterized LOC338694(LOC338694)
C9orf64	>0.1	chromosome 9 open reading frame 64
TET1	>0.1	tet methylcytosine dioxygenase 1
COX18	>0.1	cytochrome c oxidase assembly factor COX18
YIPF4	>0.1	Yip1 domain family member 4
C16orf59	>0.1	tubulin epsilon and delta complex 2
PDGFRL	>0.1	platelet derived growth factor receptor like
ZMYND15	>0.1	zinc finger MYND-type containing 15
PCDH12	>0.1	protocadherin 12
ZNF662	>0.1	zinc finger protein 662
APOA4	>0.1	apolipoprotein A4
L1CAM	>0.1	L1 cell adhesion molecule
PRKAG2	>0.1	protein kinase AMP-activated non-catalytic subunit gamma 2
METAP1	>0.1	methionyl aminopeptidase 1
CFHR3	>0.1	complement factor H related 3
MMP28	>0.1	matrix metallopeptidase 28
C1GALT1	>0.1	core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1
FAM103A1	>0.1	RNA guanine-7 methyltransferase activating subunit
EPHX3	>0.1	epoxide hydrolase 3
BLID	>0.1	BH3-like motif containing, cell death inducer
TRIM17	>0.1	tripartite motif containing 17
AQP10	>0.1	aquaporin 10
ALKBH5	>0.1	alkB homolog 5, RNA demethylase
LOC729966	>0.1	uncharacterized LOC729966(LOC729966)
NME5	>0.1	NME/NM23 family member 5
NUDT16	>0.1	nudix hydrolase 16
SLAIN1	>0.1	SLAIN motif family member 1
SORCS3	>0.1	sortilin related VPS10 domain containing receptor 3
EFNA4	>0.1	ephrin A4
C11orf96	>0.1	chromosome 11 open reading frame 96
CTD-3080P12.3	>0.1	
LINC00669	>0.1	MIR924 host gene
SLC45A3	>0.1	solute carrier family 45 member 3
ACKR3	>0.1	atypical chemokine receptor 3
ZNF189	>0.1	zinc finger protein 189
BID	>0.1	BH3 interacting domain death agonist
PPIH	>0.1	peptidylprolyl isomerase H
TTYH2	>0.1	tweety family member 2
COLEC10	>0.1	collectin subfamily member 10
TCERG1	>0.1	transcription elongation regulator 1
PRAMEF5	>0.1	PRAME family member 5
HPS5	>0.1	HPS5 biogenesis of lysosomal organelles complex 2 subunit 2
LOC101928290	>0.1	
ITFG3	>0.1	family with sequence similarity 234 member A
HTN1	>0.1	histatin 1
DAAM2	>0.1	dishevelled associated activator of morphogenesis 2
FYB	>0.1	FYN binding protein 1
OR4M1	>0.1	olfactory receptor family 4 subfamily M member 1
TCFL5	>0.1	transcription factor like 5
NNMT	>0.1	nicotinamide N-methyltransferase
PLIN2	>0.1	perilipin 2
ERP44	>0.1	endoplasmic reticulum protein 44
NSUN6	>0.1	NOP2/Sun RNA methyltransferase 6
LOC101927934	>0.1	
C19orf24	>0.1	family with sequence similarity 174 member C
FAM153C	>0.1	family with sequence similarity 153 member C, pseudogene
DNAJA1P5	>0.1	DnaJ heat shock protein family (Hsp40) member A1 pseudogene 5
CMPK2	>0.1	cytidine/uridine monophosphate kinase 2
TMEM79	>0.1	transmembrane protein 79
GPRC6A	>0.1	G protein-coupled receptor class C group 6 member A
ZC3H11A	>0.1	zinc finger CCCH-type containing 11A
RBM20	>0.1	RNA binding motif protein 20
IFIT2	>0.1	interferon induced protein with tetratricopeptide repeats 2
SAA1	>0.1	serum amyloid A1
MED29	>0.1	mediator complex subunit 29
ZNF558	>0.1	zinc finger protein 558
OGDHL	>0.1	oxoglutarate dehydrogenase L
C12orf57	>0.1	chromosome 12 open reading frame 57
SLAMF1	>0.1	signaling lymphocytic activation molecule family member 1
ENOX1	>0.1	ecto-NOX disulfide-thiol exchanger 1
CLEC12B	>0.1	C-type lectin domain family 12 member B
CAV2	>0.1	caveolin 2
TBC1D3P5	>0.1	TBC1 domain family member 3 pseudogene 5
PKHD1	>0.1	PKHD1 ciliary IPT domain containing fibrocystin/polyductin
TSPYL2	>0.1	TSPY like 2
CHML	>0.1	CHM like Rab escort protein
FLRT2	>0.1	fibronectin leucine rich transmembrane protein 2
FUT8	>0.1	fucosyltransferase 8
ZNF839	>0.1	zinc finger protein 839
VBP1	>0.1	VHL binding protein 1
LOC401557	>0.1	uncharacterized LOC401557(LOC401557)
CAPRIN1	>0.1	cell cycle associated protein 1
TMEM143	>0.1	transmembrane protein 143
PUS1	>0.1	pseudouridine synthase 1
KIT	>0.1	KIT proto-oncogene, receptor tyrosine kinase
METTL8	>0.1	methyltransferase 8, methylcytidine
TEX13A	>0.1	testis expressed 13A
SMG7	>0.1	SMG7 nonsense mediated mRNA decay factor
SACM1L	>0.1	SAC1 like phosphatidylinositide phosphatase
CELF5	>0.1	CUGBP Elav-like family member 5
UBR2	>0.1	ubiquitin protein ligase E3 component n-recognin 2
GPR111	>0.1	adhesion G protein-coupled receptor F2
C20orf196	>0.1	shieldin complex subunit 1
NUDT3	>0.1	nudix hydrolase 3
SRP54	>0.1	signal recognition particle 54
ZNF202	>0.1	zinc finger protein 202
FAM47C	>0.1	family with sequence similarity 47 member C
ATP13A5	>0.1	ATPase 13A5
ATP8B4	>0.1	ATPase phospholipid transporting 8B4 (putative)
MAGEH1	>0.1	MAGE family member H1
LOC145845	>0.1	uncharacterized LOC145845(LOC145845)
PLCG1	>0.1	phospholipase C gamma 1
AGPS	>0.1	alkylglycerone phosphate synthase
C17orf53	>0.1	homologous recombination factor with OB-fold
SPIN3	>0.1	spindlin family member 3
GTF2F2	>0.1	general transcription factor IIF subunit 2
CCL7	>0.1	C-C motif chemokine ligand 7
ANKRD20A11P	>0.1	ankyrin repeat domain 20 family member A11, pseudogene
KRTAP5-1	>0.1	keratin associated protein 5-1
VILL	>0.1	villin like
GOLGA7B	>0.1	golgin A7 family member B
PHYH	>0.1	phytanoyl-CoA 2-hydroxylase
ZFP92	>0.1	ZFP92 zinc finger protein
TUNAR	>0.1	TCL1 upstream neural differentiation-associated RNA
CABP4	>0.1	calcium binding protein 4
ATXN7L2	>0.1	ataxin 7 like 2
TAF12	>0.1	TATA-box binding protein associated factor 12
BASP1	>0.1	brain abundant membrane attached signal protein 1
LOC400655	>0.1	
ASMT	>0.1	acetylserotonin O-methyltransferase
PLEK	>0.1	pleckstrin
CARD17	>0.1	caspase recruitment domain family member 17
NR4A3	>0.1	nuclear receptor subfamily 4 group A member 3
SLC1A5	>0.1	solute carrier family 1 member 5
LINC00423	>0.1	long intergenic non-protein coding RNA 423
LDLRAD1	>0.1	low density lipoprotein receptor class A domain containing 1
GNA14	>0.1	G protein subunit alpha 14
RNFT2	>0.1	ring finger protein, transmembrane 2
TMEM14E	>0.1	transmembrane protein 14E, pseudogene
SKAP2	>0.1	src kinase associated phosphoprotein 2
PLEK2	>0.1	pleckstrin 2
FAM25C	>0.1	family with sequence similarity 25 member C
BMP5	>0.1	bone morphogenetic protein 5
ZNF493	>0.1	zinc finger protein 493
MZT2B	>0.1	mitotic spindle organizing protein 2B
MBD3L2	>0.1	methyl-CpG binding domain protein 3 like 2
C7orf71	>0.1	long intergenic non-protein coding RNA 2860
T	>0.1	T-box transcription factor T
GREM1	>0.1	gremlin 1, DAN family BMP antagonist
NDRG3	>0.1	NDRG family member 3
ZNF814	>0.1	zinc finger protein 814
KIAA0020	>0.1	pumilio RNA binding family member 3
TMEM114	>0.1	transmembrane protein 114
LPIN3	>0.1	lipin 3
VCAM1	>0.1	vascular cell adhesion molecule 1
FRY	>0.1	FRY microtubule binding protein
AFF2	>0.1	AF4/FMR2 family member 2
ACTBL2	>0.1	actin beta like 2
DISP1	>0.1	dispatched RND transporter family member 1
MGC16275	>0.1	uncharacterized protein MGC16275(MGC16275)
LINC01139	>0.1	long intergenic non-protein coding RNA 1139
AVIL	>0.1	advillin
REG4	>0.1	regenerating family member 4
PRL	>0.1	prolactin
OR4C12	>0.1	olfactory receptor family 4 subfamily C member 12
ARGFX	>0.1	arginine-fifty homeobox
CDHR2	>0.1	cadherin related family member 2
TTLL9	>0.1	tubulin tyrosine ligase like 9
TCEAL7	>0.1	transcription elongation factor A like 7
LECT2	>0.1	leukocyte cell derived chemotaxin 2
RAB36	>0.1	RAB36, member RAS oncogene family
ABCA4	>0.1	ATP binding cassette subfamily A member 4
ILVBL	>0.1	ilvB acetolactate synthase like
DENND4B	>0.1	DENN domain containing 4B
NRP2	>0.1	neuropilin 2
MIP	>0.1	major intrinsic protein of lens fiber
SERTAD1	>0.1	SERTA domain containing 1
ELMOD2	>0.1	ELMO domain containing 2
KRT81	>0.1	keratin 81
ROGDI	>0.1	rogdi atypical leucine zipper
TMED7-TICAM2	>0.1	TMED7-TICAM2 readthrough
PLSCR2	>0.1	phospholipid scramblase 2
LOC647859	>0.1	
CDC73	>0.1	cell division cycle 73
OR5H1	>0.1	olfactory receptor family 5 subfamily H member 1
FGFR1OP2	>0.1	FGFR1 oncogene partner 2
TTL	>0.1	tubulin tyrosine ligase
LINC00354	>0.1	long intergenic non-protein coding RNA 354
ATP5J2	>0.1	ATP synthase membrane subunit f
FAM207A	>0.1	SLX9 ribosome biogenesis factor
LOC285000	>0.1	
SAE1	>0.1	SUMO1 activating enzyme subunit 1
HEXDC	>0.1	hexosaminidase D
LINC00693	>0.1	long intergenic non-protein coding RNA 693
LGALS9	>0.1	galectin 9
PLS3	>0.1	plastin 3
STBD1	>0.1	starch binding domain 1
NEK8	>0.1	NIMA related kinase 8
GPS1	>0.1	G protein pathway suppressor 1
COMMD9	>0.1	COMM domain containing 9
PLA2G2F	>0.1	phospholipase A2 group IIF
CASC2	>0.1	cancer susceptibility 2
PLA2G2A	>0.1	phospholipase A2 group IIA
NDUFA4L2	>0.1	NDUFA4 mitochondrial complex associated like 2
WWOX	>0.1	WW domain containing oxidoreductase
SLC1A3	>0.1	solute carrier family 1 member 3
C11orf1	>0.1	chromosome 11 open reading frame 1
EXOSC10	>0.1	exosome component 10
DCAF8	>0.1	DDB1 and CUL4 associated factor 8
LOC256880	>0.1	
RASA1	>0.1	RAS p21 protein activator 1
DRD5	>0.1	dopamine receptor D5
ZADH2	>0.1	prostaglandin reductase 3
CNTNAP3	>0.1	contactin associated protein family member 3
XBP1	>0.1	X-box binding protein 1
TMEM179	>0.1	transmembrane protein 179
MIR205HG	>0.1	MIR205 host gene
KCNJ2	>0.1	potassium inwardly rectifying channel subfamily J member 2
SH3GLB1	>0.1	SH3 domain containing GRB2 like, endophilin B1
LOC100132352	>0.1	
DDTL	>0.1	D-dopachrome tautomerase like
ZNF846	>0.1	zinc finger protein 846
C3orf70	>0.1	chromosome 3 open reading frame 70
STOX2	>0.1	storkhead box 2
ID3	>0.1	inhibitor of DNA binding 3, HLH protein
DUSP11	>0.1	dual specificity phosphatase 11
SPTBN5	>0.1	spectrin beta, non-erythrocytic 5
PHLDA1	>0.1	pleckstrin homology like domain family A member 1
TMEM251	>0.1	transmembrane protein 251
PRDM4	>0.1	PR/SET domain 4
RPL36AL	>0.1	ribosomal protein L36a like
LINC00535	>0.1	CIBAR1 divergent transcript
PTCH2	>0.1	patched 2
MPC2	>0.1	mitochondrial pyruvate carrier 2
CSRP3	>0.1	cysteine and glycine rich protein 3
NCRNA00159	>0.1	long intergenic non-protein coding RNA 159
GUCY1A3	>0.1	guanylate cyclase 1 soluble subunit alpha 1
NEUROG1	>0.1	neurogenin 1
NHLRC4	>0.1	NHL repeat containing 4
NAP1L6	>0.1	nucleosome assembly protein 1 like 6, pseudogene
C10orf105	>0.1	chromosome 10 open reading frame 105
INTS1	>0.1	integrator complex subunit 1
GGN	>0.1	gametogenetin
GPCPD1	>0.1	glycerophosphocholine phosphodiesterase 1
CMTM7	>0.1	CKLF like MARVEL transmembrane domain containing 7
DNMBP	>0.1	dynamin binding protein
SLC35E2B	>0.1	solute carrier family 35 member E2B
KCMF1	>0.1	potassium channel modulatory factor 1
C16orf13	>0.1	methyltransferase like 26
ZNF284	>0.1	zinc finger protein 284
NR2F6	>0.1	nuclear receptor subfamily 2 group F member 6
PIP	>0.1	prolactin induced protein
SSH2	>0.1	slingshot protein phosphatase 2
RBP1	>0.1	retinol binding protein 1
C17orf70	>0.1	FA core complex associated protein 100
LMBRD1	>0.1	LMBR1 domain containing 1
GLA	>0.1	galactosidase alpha
MGARP	>0.1	mitochondria localized glutamic acid rich protein
ZNF681	>0.1	zinc finger protein 681
ZFR	>0.1	zinc finger RNA binding protein
SPRED1	>0.1	sprouty related EVH1 domain containing 1
SFTA2	>0.1	surfactant associated 2
ARL14EP	>0.1	ADP ribosylation factor like GTPase 14 effector protein
LINC01268	>0.1	MARCKS cis regulating lncRNA promoter of cytokines and inflammation
NEIL2	>0.1	nei like DNA glycosylase 2
IFIT1	>0.1	interferon induced protein with tetratricopeptide repeats 1
KISS1	>0.1	KiSS-1 metastasis suppressor
C2CD4C	>0.1	C2 calcium dependent domain containing 4C
MMACHC	>0.1	metabolism of cobalamin associated C
SNX6	>0.1	sorting nexin 6
NKD2	>0.1	NKD inhibitor of WNT signaling pathway 2
LCE2C	>0.1	late cornified envelope 2C
FBXW2	>0.1	F-box and WD repeat domain containing 2
SPOPL	>0.1	speckle type BTB/POZ protein like
LIN37	>0.1	lin-37 DREAM MuvB core complex component
COL22A1	>0.1	collagen type XXII alpha 1 chain
RNF170	>0.1	ring finger protein 170
NFXL1	>0.1	nuclear transcription factor, X-box binding like 1
TCF25	>0.1	transcription factor 25
PEX13	>0.1	peroxisomal biogenesis factor 13
RHAG	>0.1	Rh associated glycoprotein
MAP2K6	>0.1	mitogen-activated protein kinase kinase 6
MIB1	>0.1	MIB E3 ubiquitin protein ligase 1
CHRAC1	>0.1	chromatin accessibility complex subunit 1
FTH1P18	>0.1	ferritin heavy chain like 18, pseudogene
OR56B4	>0.1	olfactory receptor family 56 subfamily B member 4
DVL1	>0.1	dishevelled segment polarity protein 1
MTIF3	>0.1	mitochondrial translational initiation factor 3
OR5K1	>0.1	olfactory receptor family 5 subfamily K member 1
EFTUD1	>0.1	elongation factor like GTPase 1
SLC25A43	>0.1	solute carrier family 25 member 43
RGR	>0.1	retinal G protein coupled receptor
CTAG2	>0.1	cancer/testis antigen 2
ADCY10P1	>0.1	ADCY10 pseudogene 1
TNFRSF13B	>0.1	TNF receptor superfamily member 13B
SLC4A2	>0.1	solute carrier family 4 member 2
CITED4	>0.1	Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 4
C19orf53	>0.1	chromosome 19 open reading frame 53
ASCL1	>0.1	achaete-scute family bHLH transcription factor 1
CCDC83	>0.1	coiled-coil domain containing 83
LOX	>0.1	lysyl oxidase
PIP5KL1	>0.1	phosphatidylinositol-4-phosphate 5-kinase like 1
ATG9B	>0.1	autophagy related 9B
OVCH1	>0.1	ovochymase 1
PI15	>0.1	peptidase inhibitor 15
MRPL15	>0.1	mitochondrial ribosomal protein L15
CXCL13	>0.1	C-X-C motif chemokine ligand 13
SSUH2	>0.1	ssu-2 homolog
ZNF649	>0.1	zinc finger protein 649
PTS	>0.1	6-pyruvoyltetrahydropterin synthase
LTBR	>0.1	lymphotoxin beta receptor
TMPRSS6	>0.1	transmembrane serine protease 6
TMEM155	>0.1	
WEE2	>0.1	WEE2 oocyte meiosis inhibiting kinase
IGF1R	>0.1	insulin like growth factor 1 receptor
ALG1L2	>0.1	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase like 2
SSX8	>0.1	SSX family member 8, pseudogene
WDFY2	>0.1	WD repeat and FYVE domain containing 2
SLX4	>0.1	SLX4 structure-specific endonuclease subunit
ABHD13	>0.1	abhydrolase domain containing 13
KCTD12	>0.1	potassium channel tetramerization domain containing 12
PDCL3	>0.1	phosducin like 3
CRYGS	>0.1	crystallin gamma S
MIR600HG	>0.1	MIR600 host gene
ARHGEF19	>0.1	Rho guanine nucleotide exchange factor 19
SPATC1	>0.1	spermatogenesis and centriole associated 1
DNMT1	>0.1	DNA methyltransferase 1
MAP6D1	>0.1	MAP6 domain containing 1
ARAP3	>0.1	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3
THUMPD2	>0.1	THUMP domain containing 2
PRRT3	>0.1	proline rich transmembrane protein 3
STAC	>0.1	SH3 and cysteine rich domain
GSAP	>0.1	gamma-secretase activating protein
CYSTM1	>0.1	cysteine rich transmembrane module containing 1
OR10C1	>0.1	olfactory receptor family 10 subfamily C member 1
AIMP1	>0.1	aminoacyl tRNA synthetase complex interacting multifunctional protein 1
TANK	>0.1	TRAF family member associated NFKB activator
AKAP4	>0.1	A-kinase anchoring protein 4
NDUFS1	>0.1	NADH:ubiquinone oxidoreductase core subunit S1
UNC45A	>0.1	unc-45 myosin chaperone A
SRGN	>0.1	serglycin
IBA57	>0.1	iron-sulfur cluster assembly factor IBA57
FAM109A	>0.1	PH domain containing endocytic trafficking adaptor 1
TMEM190	>0.1	transmembrane protein 190
WNT8A	>0.1	Wnt family member 8A
UPK1A-AS1	>0.1	UPK1A antisense RNA 1
CLCF1	>0.1	cardiotrophin like cytokine factor 1
OR13C4	>0.1	olfactory receptor family 13 subfamily C member 4
ERCC3	>0.1	ERCC excision repair 3, TFIIH core complex helicase subunit
TMEM150B	>0.1	transmembrane protein 150B
BAHCC1	>0.1	BAH domain and coiled-coil containing 1
FTMT	>0.1	ferritin mitochondrial
IL21	>0.1	interleukin 21
C1QB	>0.1	complement C1q B chain
PGP	>0.1	phosphoglycolate phosphatase
MKRN7P	>0.1	makorin ring finger protein 7, pseudogene
FAM160A1	>0.1	FHF complex subunit HOOK interacting protein 1A
CFH	>0.1	complement factor H
HEXB	>0.1	hexosaminidase subunit beta
MCCD1	>0.1	mitochondrial coiled-coil domain 1
RGS6	>0.1	regulator of G protein signaling 6
PROX1	>0.1	prospero homeobox 1
KDM4B	>0.1	lysine demethylase 4B
NR2C2	>0.1	nuclear receptor subfamily 2 group C member 2
TRIM71	>0.1	tripartite motif containing 71
DHRS3	>0.1	dehydrogenase/reductase 3
CHRM4	>0.1	cholinergic receptor muscarinic 4
MTBP	>0.1	MDM2 binding protein
GNG12	>0.1	G protein subunit gamma 12
CYS1	>0.1	cystin 1
NPC2	>0.1	NPC intracellular cholesterol transporter 2
ATAD3B	>0.1	ATPase family AAA domain containing 3B
SPATA2	>0.1	spermatogenesis associated 2
REPS1	>0.1	RALBP1 associated Eps domain containing 1
ARHGAP12	>0.1	Rho GTPase activating protein 12
LLGL1	>0.1	LLGL scribble cell polarity complex component 1
KIAA0907	>0.1	KH domain containing 4, pre-mRNA splicing factor
PNPO	>0.1	pyridoxamine 5'-phosphate oxidase
NOA1	>0.1	nitric oxide associated 1
MRPS16	>0.1	mitochondrial ribosomal protein S16
CSPP1	>0.1	centrosome and spindle pole associated protein 1
CACNA2D3	>0.1	calcium voltage-gated channel auxiliary subunit alpha2delta 3
FRG2B	>0.1	FSHD region gene 2 family member B
CCBL1	>0.1	kynurenine aminotransferase 1
RYBP	>0.1	RING1 and YY1 binding protein
FZD8	>0.1	frizzled class receptor 8
FBXO17	>0.1	F-box protein 17
ILDR1	>0.1	immunoglobulin like domain containing receptor 1
HSPA8	>0.1	heat shock protein family A (Hsp70) member 8
ETFA	>0.1	electron transfer flavoprotein subunit alpha
GSX2	>0.1	GS homeobox 2
MYO10	>0.1	myosin X
LOC648691	>0.1	
TRIM42	>0.1	tripartite motif containing 42
ZC3H8	>0.1	zinc finger CCCH-type containing 8
CCDC70	>0.1	coiled-coil domain containing 70
SOCS5	>0.1	suppressor of cytokine signaling 5
PRR7-AS1	>0.1	PRR7 antisense RNA 1
HIST1H3H	>0.1	H3 clustered histone 10
MUCL1	>0.1	mucin like 1
SKAP1	>0.1	src kinase associated phosphoprotein 1
SREK1	>0.1	splicing regulatory glutamic acid and lysine rich protein 1
CLIP1	>0.1	CAP-Gly domain containing linker protein 1
MSH6	>0.1	mutS homolog 6
SCTR	>0.1	secretin receptor
RIBC2	>0.1	RIB43A domain with coiled-coils 2
